yr,month,rain,run
2147,08,307.50462419819087,analy_dry75
2147,09,173.16958350129426,analy_dry75
2147,10,216.47740406915545,analy_dry75
2147,11,369.49787638150156,analy_dry75
2147,12,318.41562101617455,analy_dry75
2148,01,8.875708394043613,analy_dry75
2148,02,9.0147723989503,analy_dry75
2148,03,8.178149694140302,analy_dry75
2148,04,22.03759342082776,analy_dry75
2148,05,128.9803046034649,analy_dry75
2148,06,304.35140000190586,analy_dry75
2148,07,241.70933633577079,analy_dry75
2148,08,484.5287438482046,analy_dry75
2148,09,95.98369124578312,analy_dry75
2148,10,383.0603807698935,analy_dry75
2148,11,406.2462563160807,analy_dry75
2148,12,83.27663855161518,analy_dry75
2149,01,11.233395303133875,analy_dry75
2149,02,13.62172088411171,analy_dry75
2149,03,1.7701415035844548,analy_dry75
2149,04,7.342419170890935,analy_dry75
2149,05,136.53092058375478,analy_dry75
2149,06,185.7151689939201,analy_dry75
2149,07,267.2814108431339,analy_dry75
2149,08,183.56463750824332,analy_dry75
2149,09,116.39366779709235,analy_dry75
2149,10,114.71922631608322,analy_dry75
2149,11,503.02574671804905,analy_dry75
2149,12,58.32471366156824,analy_dry75
2150,01,4.250338947895216,analy_dry75
2150,02,14.615464983216953,analy_dry75
2150,03,16.301309336267877,analy_dry75
2150,04,32.26842024887446,analy_dry75
2150,05,173.93395837862045,analy_dry75
2150,06,320.34860879648477,analy_dry75
2150,07,368.209490692243,analy_dry75
2150,08,365.94924218952656,analy_dry75
2150,09,247.73053997196257,analy_dry75
2150,10,332.3666366748512,analy_dry75
2150,11,543.3909296058118,analy_dry75
2150,12,924.9038522131741,analy_dry75
2151,01,22.714316484052688,analy_dry75
2151,02,7.8641097017680295,analy_dry75
2151,03,10.078303366026375,analy_dry75
2151,04,13.511919825396035,analy_dry75
2151,05,228.55829999316484,analy_dry75
2151,06,296.98309355881065,analy_dry75
2151,07,336.47702978923917,analy_dry75
2151,08,169.34357767459005,analy_dry75
2151,09,212.51172828488052,analy_dry75
2151,10,284.94292739778757,analy_dry75
2151,11,643.8181308098137,analy_dry75
2151,12,489.67920751310885,analy_dry75
2152,01,2.287683237955207,analy_dry75
2152,02,0.47305506486736704,analy_dry75
2152,03,4.630369012375013,analy_dry75
2152,04,43.232962576439604,analy_dry75
2152,05,252.93026911094785,analy_dry75
2152,06,275.4362889099866,analy_dry75
2152,07,336.346850451082,analy_dry75
2152,08,141.15125422831625,analy_dry75
2152,09,168.17810232751071,analy_dry75
2152,10,294.32363491505384,analy_dry75
2152,11,854.0151223540306,analy_dry75
2152,12,468.17779024131596,analy_dry75
2153,01,3.167753053276101,analy_dry75
2153,02,16.43961757508805,analy_dry75
2153,03,12.36598843097454,analy_dry75
2153,04,15.940440469421446,analy_dry75
2153,05,202.8562020510435,analy_dry75
2153,06,186.79010344203562,analy_dry75
2153,07,398.16184658557177,analy_dry75
2153,08,293.0534704355523,analy_dry75
2153,09,227.50657566357404,analy_dry75
2153,10,244.31952950544655,analy_dry75
2153,11,176.62112885154784,analy_dry75
2153,12,146.76166215213016,analy_dry75
2154,01,5.197914934979053,analy_dry75
2154,02,3.1611457332473947,analy_dry75
2154,03,6.603027204255341,analy_dry75
2154,04,11.734437159611844,analy_dry75
2154,05,270.99169737193733,analy_dry75
2154,06,283.6519887903705,analy_dry75
2154,07,159.9427878507413,analy_dry75
2154,08,307.50462419819087,analy_dry75
2154,09,173.16958350129426,analy_dry75
2154,10,216.47740406915545,analy_dry75
2154,11,369.49787638150156,analy_dry75
2154,12,318.41562101617455,analy_dry75
2155,01,8.875708394043613,analy_dry75
2155,02,9.336729360802565,analy_dry75
2155,03,8.178149694140302,analy_dry75
2155,04,22.03759342082776,analy_dry75
2155,05,128.9803046034649,analy_dry75
2155,06,304.35140000190586,analy_dry75
2155,07,241.70933633577079,analy_dry75
2155,08,484.5287438482046,analy_dry75
2155,09,95.98369124578312,analy_dry75
2155,10,383.0603807698935,analy_dry75
2155,11,406.2462563160807,analy_dry75
2155,12,83.27663855161518,analy_dry75
2156,01,11.233395303133875,analy_dry75
2156,02,13.152005866868421,analy_dry75
2156,03,1.7701415035844548,analy_dry75
2156,04,7.342419170890935,analy_dry75
2156,05,136.53092058375478,analy_dry75
2156,06,185.7151689939201,analy_dry75
2156,07,267.2814108431339,analy_dry75
2156,08,183.56463750824332,analy_dry75
2156,09,116.39366779709235,analy_dry75
2156,10,114.71922631608322,analy_dry75
2156,11,503.02574671804905,analy_dry75
2156,12,58.32471366156824,analy_dry75
2157,01,4.250338947895216,analy_dry75
2157,02,14.615464983216953,analy_dry75
2157,03,16.301309336267877,analy_dry75
2157,04,32.26842024887446,analy_dry75
2157,05,173.93395837862045,analy_dry75
2157,06,320.34860879648477,analy_dry75
2157,07,368.209490692243,analy_dry75
2157,08,365.94924218952656,analy_dry75
2157,09,247.73053997196257,analy_dry75
2157,10,332.3666366748512,analy_dry75
2157,11,543.3909296058118,analy_dry75
2157,12,924.9038522131741,analy_dry75
2158,01,22.714316484052688,analy_dry75
2158,02,7.8641097017680295,analy_dry75
2158,03,10.078303366026375,analy_dry75
2158,04,13.511919825396035,analy_dry75
2158,05,228.55829999316484,analy_dry75
2158,06,296.98309355881065,analy_dry75
2158,07,336.47702978923917,analy_dry75
2158,08,169.34357767459005,analy_dry75
2158,09,212.51172828488052,analy_dry75
2158,10,284.94292739778757,analy_dry75
2158,11,643.8181308098137,analy_dry75
2158,12,489.67920751310885,analy_dry75
2159,01,2.287683237955207,analy_dry75
2159,02,0.48994991580002534,analy_dry75
2159,03,4.630369012375013,analy_dry75
2159,04,43.232962576439604,analy_dry75
2159,05,252.93026911094785,analy_dry75
2159,06,275.4362889099866,analy_dry75
2159,07,336.346850451082,analy_dry75
2159,08,141.15125422831625,analy_dry75
2159,09,168.17810232751071,analy_dry75
2159,10,294.32363491505384,analy_dry75
2159,11,854.0151223540306,analy_dry75
2159,12,468.17779024131596,analy_dry75
2160,01,3.167753053276101,analy_dry75
2160,02,15.872733328433242,analy_dry75
2160,03,12.36598843097454,analy_dry75
2160,04,15.940440469421446,analy_dry75
2160,05,202.8562020510435,analy_dry75
2160,06,186.79010344203562,analy_dry75
2160,07,398.16184658557177,analy_dry75
2160,08,293.0534704355523,analy_dry75
2160,09,227.50657566357404,analy_dry75
2160,10,244.31952950544655,analy_dry75
2160,11,176.62112885154784,analy_dry75
2160,12,146.76166215213016,analy_dry75
2161,01,5.197914934979053,analy_dry75
2161,02,3.1611457332473947,analy_dry75
2161,03,6.603027204255341,analy_dry75
2161,04,11.734437159611844,analy_dry75
2161,05,270.99169737193733,analy_dry75
2161,06,283.6519887903705,analy_dry75
2161,07,159.9427878507413,analy_dry75
2161,08,307.50462419819087,analy_dry75
2161,09,173.16958350129426,analy_dry75
2161,10,216.47740406915545,analy_dry75
2161,11,369.49787638150156,analy_dry75
2161,12,318.41562101617455,analy_dry75
2162,01,8.875708394043613,analy_dry75
